"COCNUM","pop","CoC Name","CoC Category","Overall Homeless, 2022","homeless_ratio","is_king","class"
"MA-516",3149276,"Massachusetts Balance of State CoC","Largely Suburban CoC",3235,10.3,"FALSE","3"
"MA-519",579895,"Attleboro, Taunton/Bristol County CoC","Largely Suburban CoC",293,5.1,"FALSE","2"
"MD-514",639275,"Maryland Balance of State CoC","Largely Suburban CoC",1053,16.5,"FALSE","4"
"MI-502",1773073,"Dearborn, Dearborn Heights, Westland/Wayne County CoC","Largely Suburban CoC",166,0.9,"FALSE","1"
"MI-523",109030,"Eaton County CoC","Largely Suburban CoC",68,6.2,"FALSE","2"
"MO-604a",884906,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS","Major City CoC",1783,20.1,"FALSE","5"
"NC-502",329699,"Durham City & County CoC","Other Largely Urban CoC",459,13.9,"FALSE","3"
"NH-502",424496,"Nashua/Hillsborough County CoC","Largely Suburban CoC",241,5.7,"FALSE","2"
"OK-504",298099,"Norman/Cleveland County CoC","Largely Suburban CoC",197,6.6,"FALSE","2"
"OR-504",437159,"Salem/Marion, Polk Counties CoC","Largely Suburban CoC",1805,41.3,"FALSE","9"
"TN-504",703372,"Nashville-Davidson County CoC","Major City CoC",1916,27.2,"FALSE","6"
